AU01677 	12 M Routine Maint. of Grant St Vent Station Fan
AU01960 	& Maintenance Building
AU01960 	"    Fire Door Inspection"""" form TMF-3012-OP-0279"
AU01960 	5. (a) Check the fire hydrant at the property front entrance for damage
AU01960 	",leakage.   [_ _]"
AU01960 	    (b) Trim plants and foliage to allow identification and access to
AU01960 	the hydrant.   [_ _]
AU01960 	"6. Record the details of any further works required in the """"Work"
AU01960 	"Done""""area of the Job Sheet."
AU01960 	7. Raise a new  job sheet for any corrective action that is required.
AU01960 	"  P2 - Medium Priority."""
AU01959 	12 M Inspect & check operation of OMB fire doors
AU01959 	
AU01959 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01959 	1. This inspection is to be performed by a sub-contractor or a suitably
AU01959 	qualified civil worker.
AU01959 	2. The location of fire doors are listed on 'OPERATION & MAINTENANCE
AU01959 	BUILDING FIRE
AU01959 	"    DOOR INSPECTION"""" - TMF-3012-OP-0279."
AU01959 	3. Inspect each door for it's identifying label and that it is attached.
AU01959 	4. Visually inspect each fire door and its associated hardware e.g.
AU01959 	"latches, handles,  hinges,"
AU01959 	"    closers, surfaces and door frame for damage or degraded operation"
AU01959 	orfit.  Any abnormal
AU01959 	"    condition found is to be recorded in the """"Work Done"""" area of the"
AU01959 	job sheet and a new job
AU01959 	    raised to have the door manufacturer repair any fault.   [_ _]
AU01959 	5. Inspect each hinge and apply a suitable spray lubricant (WD40) to
AU01959 	thehinge.   [_ _]
AU01959 	6. Ensure the door closer for each door is effective and that the door
AU01959 	is not held open by
AU01959 	    wedges or similar.   Remove any objects found that are used in this
AU01959 	way.   [_ _]
AU01959 	"7. Before a fire doors is removed for corrective repairs, the fire"
AU01959 	fighting authorities should be
AU01959 	   notified if the door cannot be re-installed within 3 hours.
AU01959 	"8. Record in the """"Work Done"""" area of the job sheet any abnormal"
AU01959 	conditions found.  Raise a
AU01959 	   job sheet for any corrective repairs required on any fire door.   P1
AU01959 	"- High Priority."""
AU01931 	12 M Lvl 1 inspect of OMB fire extings & Hose Reels
AU01931 	
AU01931 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01931 	1. The fire extinguisher Level 1 inspection & service shall be carried
AU01931 	out by the
AU01931 	    sub-contractor in the presence of the electrical / electronic
AU01931 	technician.   Work shall be
AU01931 	    carried out in conjunction with the planned 06 M inspection of fire
AU01931 	alarm panels.
AU01931 	2. Notify the control room prior to commencing the job and before
AU01931 	entering into each area.
AU01931 	   Ensure the sub-contractor has informed the MFESM prior to carrying
AU01931 	out tests.
AU01931 	3. Fire extinguisher inspection shall be carried out in accordance with
AU01931 	"AS 1851,"
AU01931 	"   Part 2, level 1."
AU01931 	"4. Location and numbers of extinguishers is shown on TMF-3012-OP-0215,"
AU01931 	FIRE HOSE
AU01931 	"    AND EXTINGUISHER INSPECTION - 12 - OMB & OCO BUILDING"""""
AU01931 	"5. Reference drawings include SLG-FS-30900 to SLG-FS-30911, setting out"
AU01931 	Emergency
AU01931 	   Management Plan.
AU01931 	6. Record details of the inspection for each fire extinguisher on
AU01931 	"TMF-3012-OP-0215, """"FIRE"
AU01931 	"    HOSE AND EXTINGUISHER INSPECTION - 12 - OMB & OCO BUILDING"""""
AU01931 	7. Record details of the inspection for each fire hose reel on
AU01931 	"8. Record the sub-contractors inspection report No. in the """" Work Done"
AU01931 	 area of the job sheet.
AU01931 	"9. Record anything outside normal parameters in the """"Work Done"""" area"
AU01931 	of the job sheet.
AU01931 	10. Notify control room on completion of the job..
AU01930 	12 M Lvl 1 & 2 inspect of OMB fire exting & hose reels
AU01930 	
AU01930 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01930 	"1. The fire extinguisher Levels 1 & 2, inspection & service shall be"
AU01930 	carried out by the
AU01930 	    sub-contractor in the presence of the electrical / electronic
AU01930 	technician.   Work shall be
AU01930 	    carried out in conjunction with the planned one monthly inspection
AU01930 	of fire alarm panels.
AU01930 	2. Notify the control room prior to commencing the job and before
AU01930 	entering into each area.
AU01930 	   Ensure the sub-contractor has informed the MFESM prior to carrying
AU01930 	out tests.
AU01930 	3. Fire extinguisher inspection shall be carried out in accordance with
AU01930 	"AS 1851,"
AU01930 	"   Part 2, level 1 & 2 ."
AU01930 	"4. Location and numbers of extinguishers is shown on TMF-3012-OP-0215,"
AU01930 	FIRE HOSE AND
AU01930 	"    EXTINGUISHER INSPECTION - 12 - OMB & OCO BUILDING"""""
AU01930 	"5. Reference drawings include SLG-FS-30900 to SLG-FS-30911, setting out"
AU01930 	Emergency
AU01930 	   Management Plan.
AU01930 	6. Record details of the inspection for each fire extinguisher on
AU01930 	"TMF-3012-OP-0215, """"FIRE"
AU01930 	"    HOSE AND EXTINGUISHER INSPECTION - 12 - OMB & OCO BUILDING"""""
AU01930 	7. Record details of the inspection for each fire hose reel on
AU01930 	8. Record the sub-contractors Certificate or  inspection report No. on
AU01930 	"TMF-3012-OP-0215,"
AU01930 	"    """"FIRE HOSE AND EXTINGUISHER INSPECTION - 12 - OMB & OCO BUILDING""""."
AU01930 	"9. Record anything outside normal parameters in the """"Work Done"""" area"
AU01930 	of the job sheet.
AU01930 	10. Notify control room on completion of the job..
AU02110 	27 M inspect & test of OMB lightning protection earthing
AU02110 	
AU02110 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU02110 	1.  Notify the traffic control room prior to commencing this job.
AU02110 	2. All work to be carried out by a sub-contractor under the supervision
AU02110 	of a civil worker.
AU02110 	3. All testing and repairs to be carried out in accordance with AS/NZS
AU02110 	1768
AU02110 	"4. At O & M Building,"
AU02110 	   (a) Inspect  the lightning earthing and protection installation for
AU02110 	integrity
AU02110 	"   (b) Carry out any minor repairs of the installation, if and where"
AU02110 	required
AU02110 	   (c) Carry out resistance test of the earthing installation.
AU02110 	"   (d) Provide a written report setting all details, required repairs"
AU02110 	and certifications of each
AU02110 	         individual installation.
AU02110 	5. Record in the work done area of the Job Sheet any outstanding works.
AU02110 	 Raise a new Job
AU02110 	   sheet for any works requiring further attention.
AU02110 	6. Record in the Work Done area of the Job Sheet the sub-contractors
AU02110 	works report number.
AU02110 	"7. On completion of the job, Notify the Control room prior to leaving"
AU02110 	each technical shelter.
AU01770 	12 M Inspection of Workshop electric hoist
AU01770 	Workshop Monorail Hoist
AU01770 	
AU01770 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01770 	"1. Refer to the O & M Building Services Training Manual, M-OMB-OM-20000."
AU01770 	2. Carry out the three monthly inspection.
AU01770 	Safety Equipment
AU01770 	1. Check the operation of the Isolating switch.   [_ _]
AU01770 	2. Check earthing connections are secure.   [_ _]
AU01770 	Mechanical Components
AU01770 	1. Inspect for damage and fixing security.   [_ _]
AU01770 	"   NOTE: Wear gloves, when handling the wire rope, to guard against"
AU01770 	injury from damaged
AU01770 	   strands. ***
AU01770 	   a. Wire rope.  [_ _]
AU01770 	    b. Bottom hook block.  [_ _]
AU01770 	    c. End Stops and buffers.  [_ _]
AU01770 	    d. Travel limits.  [_ _]
AU01770 	"2. Check bearings, wire rope and gear trains are suitably greased, clean"
AU01770 	and regrease if
AU01770 	   required.  Lubricate the wire rope and wire rope guide with CBC 600
AU01770 	lubricant.   [_ _]
AU01770 	"3. Check oil levels are correct, fill if required.   [_ _]"
AU01770 	"4. On completion of the job, record anything outside of normal"
AU01770 	"parameters in the """"Work Done"""""
AU01770 	"    area of the Job Sheet."""
AU01826 	03 M Service to OMB passenger lift
AU01826 	
AU01826 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01826 	1. Notify OMB security that the passenger lift will be unavailable for
AU01826 	use due to service.
AU01826 	2. The service is to be carried out by a sub-contractor under the
AU01826 	supervision of an Electrical
AU01826 	    Electronics Technician.
AU01826 	3. The service of the lift is to be carried out to AS 1735.
AU01826 	"4. On completion of the job, record anything outside normal paramters"
AU01826 	"inthe """"Work Done"""""
AU01826 	    area of the job sheet.
AU01826 	5. Notify OMB security on the completion of the job.
AU01826 	"6. Add $350.00 in the sub- contractors costs."""
AU02105 	12 M service to OMB sectional doors
AU02105 	
AU02105 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU02105 	1. Notify TCRO prior to commencing this job.
AU02105 	2. Inspection and service of the 4 doors to be carried out by an
AU02105 	sub-contractor under the
AU02105 	   supervision of a electrical/electronic technician.
AU02105 	3. The doors are the:
AU02105 	    3 doors on the western entrance to the OMB garage area and
AU02105 	    1 door on the eastern end of  building to the rear portion of the
AU02105 	property.
AU02105 	4. The sub-contractor is to carry out the inspection and service and to
AU02105 	provide a report to the
AU02105 	    Electrical\Electronics supervisor or his representative on
AU02105 	completion.
AU02105 	"5. Notify the TCRO on completion of the job. """
AU01827 	03 M inspect of OMB vent fans
AU01827 	
AU01827 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01827 	1. Notify the control room prior to commencing this job.
AU01827 	"2. Reference Manual A E Smith & Sons Pty Ltd, Operating & Maintenance"
AU01827 	Manual for
AU01827 	   Mechanical Services serving Melbourne City Link Operations and
AU01827 	"Maintenance Building,"
AU01827 	   Balston Street South Melbourne. M-OMB-OM-20000.
AU01827 	3. Work plan for roof mounted ventilation fans - SF 1 - Supply Air Fan
AU01827 	Store & Workshop.
AU01827 	"3.1. Check the cowl for damage or corrosion, repair or record in the"
AU01827 	"Work Done"""" area of the"
AU01827 	       job sheet for later corrective maintenance.    [_ _]
AU01827 	"3.2. Check the mesh guards for damage or holes, repair or record in the"
AU01827 	"Work Done"""" area of"
AU01827 	       the job sheet for later corrective maintenance.    [_ _]
AU01827 	3.3  Check the speed controller for operation.     [_ _]
AU01827 	3.4. Check motor bearings for undue noise.    [_ _]
AU01827 	3.5. Check the operation of the fan for undue noise or vibrations.    [__]
AU01827 	4. Repeat step 3 for the SF3 - Control Room Supply Air Fan.    [_ _]
AU01827 	5. Repeat step 3 for the SF4 - EDP Process Supply Air Fan.    [_ _]
AU01827 	6. Repeat step 3 for the EF1 - Garage Exhaust Fan.    [_ _]
AU01827 	7. Repeat step 3 for the EF2 - Welding Exhaust Fan.    [_ _]
AU01827 	8. Repeat step 3 for the EF3 - Toilet Exhaust Fan.    [_ _]
AU01827 	9. Repeat step 3 for the EF4 - Tea Room Exhaust Fan.    [_ _]
AU01827 	10. Work plan for workshop fume extraction point.
AU01827 	"10.1. Check the flexible hose, joints and arm for damage or"
AU01827 	"deterioration, repair or record in"
AU01827 	"         the """"Work Done"""" area of the job sheet for later corrective"
AU01827 	maintenance.    [_ _]
AU01827 	"10.2. Check the mesh guards for damage or holes, repair or record in"
AU01827 	"the""""Work Done"""" area of"
AU01827 	         the job sheet for later corrective maintenance.    [_ _]
AU01827 	11. Work plan for supply fan SF 2 - Patrol Room Exhaust Fan
AU01827 	"11.1. Check the plenum for damage or corrosion, repair or record in the"
AU01827 	"11.2. Check the grilles for damage, repair or record in the """"Work"
AU01827 	"Done"""" area of the job sheet"
AU01827 	         for later corrective maintenance.    [_ _]
AU01827 	11.3  Check the speed controller for operation.     [_ _]
AU01827 	11.4. Check motor bearings for undue noise.    [_ _]
AU01827 	11.5. Check the operation of the fan for undue noise or vibrations.
AU01827 	   [_ _]
AU01827 	12. Work plan for exhaust fan EF 5 - UPS Room Exhaust Fan.
AU01827 	"12.1. Check the fan enclosure for damage or corrosion, repair or record"
AU01827 	"in the """"Work Done"""""
AU01827 	          area of the job sheet for later corrective maintenance.    [_
AU01827 	_]
AU01827 	"12.2. Check the duct fittings for damage or corrosion, repair or record"
AU01827 	"in the """"Work Done"""" area"
AU01827 	          of the job sheet for later corrective maintenance.    [_ _]
AU01827 	"12.3 Check the UPS room fire damper for damage, corrosion or premature"
AU01827 	operation.   [_ _]
AU01827 	12.4. Check motor bearings for undue noise.    [_ _]
AU01827 	12.5. Check the operation of the fan for undue noise or vibrations.
AU01827 	12.6. Check the operation of the air flow sensor.    [_ _]
AU01827 	"13. On completion of the job, record anything outside normal parameters"
AU01827 	      area of the job sheet.
AU01827 	"14. Notify the control room on completion of the job."""
AU01837 	12 M inspect of OMB vent fans
AU01837 	
AU01837 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01837 	1. Notify the control room prior to commencing this job.
AU01837 	"2. Reference Manual A E Smith & Sons Pty Ltd, Operating & Maintenance"
AU01837 	Manual for
AU01837 	   Mechanical Services serving Melbourne City Link Operations and
AU01837 	"Maintenance Building,"
AU01837 	   Balston Street South Melbourne. M-OMB-OM-20000.
AU01837 	3. Ensure the 3 monthly fan inspection is complete.
AU01837 	4. Work plan for roof mounted ventilation fans - SF 1 - Car Park Supply
AU01837 	Air Makeup Fan.
AU01837 	"    (a) At the switchboard, switch the fan control switch to the OFF"
AU01837 	position.  Isolate
AU01837 	"          and tag in accordance TMI-3012-SA-0103, Low Voltage Safety"
AU01837 	Work Instruction.   [_ _]
AU01837 	    (b) Carry out an Insulation resistance test on the motor windings.
AU01837 	 Record any results in the
AU01837 	"          """"Work Done"""" area of the job sheet that does not meet"
AU01837 	specifications set out in
AU01837 	           AS3000.   [_ _]
AU01837 	"   (c) At the switchboard, remove the safety tags in accordance with"
AU01837 	"TMI-3012-SA-0103, then"
AU01837 	        switch the fan control switch to the ON position.
AU01837 	   (d) Measure and record the motor current and compare with the rated
AU01837 	current.  Record in the
AU01837 	"        """"Work Done"""" area of the job sheet, any results out of limits.."
AU01837 	  [_ _]
AU01837 	"   (f ) Check the fan and motor bearings, lubricate where applicable."
AU01837 	 [_ _]
AU01837 	5. Repeat step 4 for the SF3 - Control Room Supply Air Fan.    [_ _]
AU01837 	6. Repeat step 4 for the SF4 - EDP Process Supply Air Fan.    [_ _]
AU01837 	7. Repeat step 4 for the EF1 - Loading Bay Exhaust Air Fan.    [_ _]
AU01837 	8. Repeat step 4 for the EF2 - Welding Exhaust Fan.    [_ _]
AU01837 	9. Repeat step 4 for the EF3 - Toilet Exhaust Fan.    [_ _]
AU01837 	10. Repeat step 4 for the EF4 - Tea Room Exhaust Fan.    [_ _]
AU01837 	11. Work plan for supply fan SF 2 - Patrol Room Exhaust Fan
AU01837 	12. Work plan for exhaust fan EF 5 - UPS Room Exhaust Fan.
AU01837 	"13. On completion of the job, record anything outside normal parameters"
AU01837 	"in the """"Work Done"""""
AU01837 	      area of the job sheet.
AU01837 	14. Notify the control room on completion of the job.
AU01837 	Record Readings Below
AU01837 	------------------------------------------------------------------------
AU01837 	--------------------------------------------------------
AU01837 	   PLANT         |    INSULATION/RESISTANCE        |
AU01837 	                  CURRENT                          |
AU01837 	                        |               m Ohm
AU01837 	                              |                           Amp    |
AU01837 	 SF 1               |
AU01837 	                                                         |            |
AU01837 	 SF 2               |
AU01837 	 SF 3               |
AU01837 	 SF 4               |
AU01837 	 EF 1               |
AU01837 	 EF 2               |
AU01837 	 EF 3               |
AU01837 	 EF 4               |
AU01837 	 EF 5               |
AU01630 	03 M Load test of the MGE UPS
AU01630 	
AU01630 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01630 	1. Notify the control room prior to commencing the work.
AU01630 	2. Check with the control room if any UPS alarms are relevant.
AU01630 	"3. Refer to MGE UPS Systems Manual, Galaxy User Manual"
AU01630 	"   E-679380XT/FA, M-STG-EL-24009, and Schnieder Electric Tunnel"
AU01630 	"   Electrical Services Training Notes, M-STG-EL-24001,"
AU01630 	   Section 9.
AU01630 	    WARNING
AU01630 	   THE UPS BATTERY POTENTIAL IS APPROXIMATELY 380 VOLTS AND IS
AU01630 	   EARTHED.  THE BATTERIES CAN DELIVER A FAULT CURRENT OF
AU01630 	   APPROXIMATELY 9000 AMPS.  EXPOSED BATTERY TERMINALS ARE
AU01630 	   DANGEROUS AND MUST NOT BE TOUCHED.  IN THE VICINITY OF THE
AU01630 	   BATTERIES USE ONLY TOOLS WHICH ARE FULLY INSULATED.
AU01630 	   SAFETY GLASSES MUST BE WORN WHEN CARRYING OUT  MEASUREMENTS
AU01630 	   ON THE BATTERIES.
AU01630 	4. Check the UPS control panel readout for alarms and or normal
AU01630 	"   status.  If an alarm is found, record the alarm in the Work"
AU01630 	   Done Area of the Job Sheet. Do Not Continue with this Job if
AU01630 	   an alarm is present.  [_ _]
AU01630 	5. Record measurements on form 03 M MGE Uninterruptible Power
AU01630 	"   Supply Battery Inspection and Test, TMF-3012-OP-0099."
AU01630 	6. Measure and record the UPS room temperature.   [_ _]
AU01630 	7. Check and record DC voltage and AC ripple voltage for each
AU01630 	   bank of batteries.  If a discrepancy is found then record in
AU01630 	   the Work Done Area of the Job Sheet.  Do Not Continue
AU01630 	   this job sheet if there is a discrepancy in the readings
AU01630 	   recorded and the readings expected.  [_ _]
AU01630 	"8. To simulate a power failure, Open Mains 1 Isolator (Q1), the"
AU01630 	   UPS operation will change to the batteries.  [_ _]
AU01630 	"9. Operate the UPS, in this mode, for at least 10"
AU01630 	   minutes.  [_ _]
AU01630 	10. Measure and record the DC voltage for each shelf of the
AU01630 	    battery banks.
AU01630 	11. Measure and record the DC current flow in each battery bank.
AU01630 	12. Return the UPS to normal operation by closing Mains 1
AU01630 	    Isolator Q1.  [_ _]
AU01630 	13. With an Optical thermometer measure the temperature of the
AU01630 	    batteries and their inter-connections.  Temperature readings
AU01630 	    should approximate ambient room temperature.  When a
AU01630 	    connection is found to having a temperature greater than 5
AU01630 	"    degrees above room  temperature, in the Work Done Area of"
AU01630 	"    the Job Sheet, record the battery location, terminal"
AU01630 	"    identification, measured  temperature.  [_ _]"
AU01630 	14. With an Optical thermometer measure the average temperature
AU01630 	    of the two (AC & DC) capacitor banks and record the result.
AU01630 	15. With an anemometer measure and record the airflow from each
AU01630 	    of the UPS cooling fans.
AU01630 	16. With the Optical thermometer measure and record the
AU01630 	    temperature of each of the UPS cooling fans.  [_ _]
AU01630 	17. Ensure Normal operation of the UPS.  [_ _]
AU01630 	18. Sweep and clean the UPS room:
AU01630 	    Sweep the floor and remove accumulated webs from the
AU01630 	    walls.   [___]
AU01630 	"    Sweep the control panel room floors as well, vacuum the"
AU01630 	    control panel enclosures and any surfaces that will collect
AU01630 	    dust deposits.   [___]
AU01630 	    Clean the front panel of all accumulated dirt and
AU01630 	    dust.   [___]
AU01630 	    Remove from site all accumulated debris and rubbish.   [_ _]
AU01630 	19. On completion of job record anything outside normal
AU01630 	    parameters
AU01630 	    e.g. Damaged equipment enclosures
AU01630 	         leaks
AU01630 	         lighting faults
AU01630 	         door damage
AU01630 	         evidence of structural damage to the UPS room and
AU01630 	"         equipment etc,  in the ""Work Done""section of the job"
AU01630 	         sheet and report to the Team Leader or his
AU01630 	         representative and raise a new job for any repairs.
AU01630 	20. Leave a duplicate 03M MGE Uninterruptible Power Supply
AU01630 	    Battery Inspection and  test form in the UPS room.  Compare
AU01630 	    previously recorded data and record in the Work Done
AU01630 	    Area of the Job Sheet any data that shows any degradation.
AU01630 	"21. Notify the control room on completion of the job."""
AU01632 	12 M Inspection of  Merlin Gerin UPS system
AU01632 	
AU01632 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01632 	   Involve the Transfield Maintenance Staff  in the UPS Switching to
AU01632 	maintain UPS switching
AU01632 	   knowledge and awareness.
AU01632 	1. Notify the control room prior to commencing work
AU01632 	2. The Galaxy UPS system 12 monthly inspection shall be carried out by
AU01632 	the sub-contractor in
AU01632 	    the presence of the electrical / electronic technician.
AU01632 	"3. Refer to MGE UPS Systems Manual, Galaxy User Manual E-6739380XT/FA,"
AU01632 	"   M-STG-EL-24009, and Schnieder Electric Tunnel Electrical Services"
AU01632 	"Training Notes,"
AU01632 	"   M-STG-EL-24001, Section 9."
AU01632 	4. Record measurments on form 12 M MGE Uninterruptible Power Supply
AU01632 	Inspection and Test
AU01632 	   TMF-3012-OP-0200.
AU01632 	5. Check all the indicators on the hidden control panel.  Record any
AU01632 	alarm conditions in
AU01632 	"   the """"Work Done"""" area of the job sheet and raise a Job sheet to havethe"
AU01632 	alarm condition
AU01632 	   attended to.  [_ _]
AU01632 	"6. Inspect the UPS and the batteries cleanliness, cracks, corrosion etc."
AU01632 	[_ _]
AU01632 	7. Measure and record the DC voltage of each battery. (Use Maintenance
AU01632 	application)
AU01632 	8. Measure and record (Use Maintenance application)
AU01632 	      UPS input voltage
AU01632 	      UPS output voltage
AU01632 	      Battery voltage
AU01632 	      Check the balance of each output phase and ensure the UPS is not
AU01632 	overloaded.
AU01632 	      Check for correct UPS calibration. Maintenance Program required.
AU01632 	      Peak and RMS loading.
AU01632 	      Output current and voltage wave shapes.
AU01632 	      AC capacitor current balance.
AU01632 	9. Isolate the UPS by switching to Maintenance Bypass.  [_ _]
AU01632 	10. Measure and record the temperature of the AC and DC filter
AU01632 	capacitors.  [_ _]
AU01632 	11. Measure and record the current flowing in various branches of the
AU01632 	battery circuits.  Ensure
AU01632 	      each path is providing an equal or representitive portion of the
AU01632 	load.
AU01632 	"12. Using an optical thermometer, measure the temperature of current"
AU01632 	"carrying connections,"
AU01632 	      during or following a current carrying period.  Terminals or
AU01632 	connections found with a
AU01632 	"      temperature which is greater than """"room  temperature plus 5"
AU01632 	degrees) should be
AU01632 	      investigated.  Repair any connections found to be faulty and
AU01632 	record in the Work Done area
AU01632 	      of the Job Sheet any repairs carried out..   [_ _]
AU01632 	"13. Open the Battery Circuit Breaker and using a DC voltmeter, measure"
AU01632 	the leakage
AU01632 	      voltage between battery terminal positive and earth then between
AU01632 	battery terminal negative
AU01632 	      and earth to ensure that there is no electrical leakage from the
AU01632 	batteries to earth.
AU01632 	    THE BATTERY BANK IS ENERGISED EVEN WHEN THE RECTIFIER / CHARGER AND
AU01632 	     INVERTER HAVE BEEN STOPPED AND THE BATTERY CIRCUIT BREAKER OPENED.
AU01632 	     BATTERY MAINTENANCE SHOULD BE PERFORMED BY QUALIFIED TRADESPERSONS
AU01632 	"     IN ACCORDANCE WITH APPLICABLE SAFETY REGULATIONS.  INSULATED TOOLS,"
AU01632 	     GLOVES AND SAFETY GLASSES SHOULD BE USED.   WITH THE BATTERY
AU01632 	CIRCUIT
AU01632 	"     BREAKER CLOSED, THE BATTERY TERMINALS HAVE A RELATIONSHIP TO EARTH."
AU01632 	14. Measure and record the string DC voltages.  If the voltage differs
AU01632 	by ? 5% from the
AU01632 	"      expected voltage, carry out a discharge / cycling test."
AU01632 	15. Visually check the UPS circuit boards and components for conditions
AU01632 	that will lead to
AU01632 	      failure of the UPS.
AU01632 	      e.g. Security of PCB's and Ribbon cables
AU01632 	            Cables and connections
AU01632 	"            Capacitors (Premature swelling, leakage)"
AU01632 	            Evidence of overheating.
AU01632 	            Fuses are secured
AU01632 	            General cleanliness of the UPS.
AU01632 	"    Replace or correct any fault found,  Record in the Work Done Area"
AU01632 	ofthe Job Sheet any
AU01632 	    repairs carried out
AU01632 	16. Return the UPS to normal operation.  FOLLOW THE CORRECT SWITCHING
AU01632 	SEQUENCE.
AU01632 	17. Check the UPS readout and program software for correct operation.
AU01632 	(Using Maintenance
AU01632 	      application)
AU01632 	"18. Simulate a power failure, Open Mains 1 Isolator (Q1), the UPS"
AU01632 	operation will change to
AU01632 	      the batteries.
AU01632 	19. Measure and record (Using Maintenance application) the battery
AU01632 	"voltage, at 5 sec"
AU01632 	"      intervals, for a 15 minute period.  Plot results to obtain a"
AU01632 	Discharge Characteristics Curve.
AU01632 	      Compare curve with previous curves for evidence of battery
AU01632 	failure.  Record in the
AU01632 	      Work Done Area of the Job Sheet any descrepancies and raise a Job
AU01632 	sheet for the
AU01632 	      descrepancy to be attended to.  [_ _]
AU01632 	20.  Return the UPS system to its normal operational state.  [_ _]
AU01632 	"21.  Notify the control room on completion of the job.  [_ _]"""
AU01632 	****Complete the following CityLink Asset Condition Rating****
AU01632 	ASSET CONDITION RATING
AU01632 	Rate the Condition of the Assets.
AU01632 	Note:
AU01632 	[ 1 ] - Excellent.
AU01632 	        Asset is new or in as new condition
AU01632 	[ 2 ] - Good.
AU01632 	"        Asset is fully operational, well presented, performing"
AU01632 	        it's intended function.
AU01632 	[ 3 ] - Fair.
AU01632 	        Asset is functional and operational but showing signs of
AU01632 	        deterioration that will result is some intervention
AU01632 	        works possibly within the next 12 months. May not be
AU01632 	        performing it's intended function to the full degree.
AU01632 	[ 4 ] - Poor.
AU01632 	        Asset is functional and operational but showing major
AU01632 	        signs of deterioration that will require intervention
AU01632 	        works within the next 3 months. Not performing it's
AU01632 	        intended function.
AU01632 	OVERALL CONDITION RATING SCORE FOR THE UPS SYSTEM CABINET
AU01632 	",,SCORE [_ _]"
AU01632 	"If the condition of asset is 3 or 4, record your observations"
AU01632 	in the Work Done area of the job sheet(photograph if possible).
AU01632 	",,Note and comment below any items requiring immediate TSL ,,attention."
AU01839 	12 M Test and inspection of the OMB Backflow preventer
AU01839 	
AU01839 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01839 	1. Notify the control room prior to commencing this job.
AU01839 	2. The Backflow Preventer twelve monthly maintenance service shall be
AU01839 	carried out by the
AU01839 	   sub-contractor in the presence of a civil worker.
AU01839 	3. The sub-contractor shall inspect and test the backflow preventer in
AU01839 	accordance with
AU01839 	"   AS3500.1-1992, Section 4 - Cross Connection Control and backflow"
AU01839 	Prevention.
AU01839 	    There are two Backflow preventers requiring service and testing at
AU01839 	the OMB.
AU01839 	    (a) Febco 25mm Ser No. 000390 in the roof plant room
AU01839 	    (b) Watts 10omm Ser No. 01724 adjacent to the water meter at front
AU01839 	gate.
AU01839 	4. On completion of the inspection the contractor is to provide a
AU01839 	maintenance report
AU01839 	"    to the Civil Team Leader detailing backflow preventer size, serial"
AU01839 	"number, model, location,"
AU01839 	"    result of test, along with any other outstanding works that require"
AU01839 	attention.
AU01839 	"5. Record the maintenance report number in the """"Work Done"""" area of"
AU01839 	thejob sheet.  [_ _]
AU01839 	6. Where there are works that require further attention.  Raise a new
AU01839 	jobsheet for the works.
AU01839 	"7. Notify the control room on the completion of this job."""
AU01838 	12 M Inspection of O & M build Dom Hot Water System
AU01838 	
AU01838 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01838 	1. Notify the control room prior to commencing this job.
AU01838 	"2. Reference manual A E Smith, Operating & Maintenance Manual for"
AU01838 	Mechanical Services
AU01838 	   serving Melbourne City Link project Southern Link. Operations &
AU01838 	Maintenance Building
AU01838 	   Balston Street Sth Melbourne.  M-OMB-OM-20000.
AU01838 	3. Work plan for the Hot Water Heater.
AU01838 	3.1. Check the heater for unusual combustion noise.   [_ _]
AU01838 	3.2. Be aware of leaking or unburnt gas.   [_ _]
AU01838 	3.3. Check the gas supply pressure.   [_ _]
AU01838 	3.4. Check the pilot lamp and the gas burner (whilst in operation) for
AU01838 	ablue flame.  Record in
AU01838 	"       the """"Work Done"""" area of the job sheet, if either flame is"
AU01838 	yellow or a bright orange colour.
AU01838 	       Arrange for a serviceman to rectify the problem.   [_ _]
AU01838 	"3.5. Check the burners, cabinet and air louvres are free of lint or"
AU01838 	debris.  Clean if
AU01838 	       required.   [_ _]
AU01838 	3.6. Check the burner and the combustion chamber for soot deposits.
AU01838 	"   Record in the """"Work"
AU01838 	"       Done"""" area of the job sheet.  Arrange for a serviceman to"
AU01838 	rectify the problem.   [_ _]
AU01838 	3.7. Check the pressure relief valve operate the valve by easing open
AU01838 	and then close again
AU01838 	      ensuring the valve is seated correctly.   [_ _]
AU01838 	3.8. Check the heater anodes.   [_ _]
AU01838 	3.9. Check the heater igniter for operation.   [_ _]
AU01838 	3.10. Check the temperature of the hot water.  Adjust thermostat if
AU01838 	required. [_ _]
AU01838 	4. Work plan for the Hot Water Circulation Pump
AU01838 	4.1. Check for unusual noises and any vibration from the pump.      [_
AU01838 	_]
AU01838 	4.2. Measure the pump temperature with a thermometer. (
